"REF_DATE","GEO","DGUID","Income concept","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.295","B","","","3"
"2022","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.301","A","","","3"
"2023","Alberta","2021A000248","Adjusted after-tax income","Number","223","units","0","v96439671","12.3","0.293","A","","","3"
"2008","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.311","B","","","3"
"2009","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.321","B","","","3"
"2010","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.322","B","","","3"
"2011","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.312","B","","","3"
"2012","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.314","B","","","3"
"2013","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.318","B","","","3"
"2014","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.309","B","","","3"
"2015","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.314","A","","","3"
"2016","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.298","B","","","3"
"2017","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.303","B","","","3"
"2018","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.304","A","","","3"
"2019","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.305","B","","","3"
"2020","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.280","A","","","3"
"2021","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.291","B","","","3"
"2022","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.306","A","","","3"
"2023","British Columbia","2021A000259","Adjusted after-tax income","Number","223","units","0","v96439674","13.3","0.310","A","","","3"


