"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Manitoba","2021A000246","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063547348","8.8.1.1","5.4","","","","1"
"2008","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","4.2","","","","1"
"2009","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.1","","","","1"
"2010","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.3","","","","1"
"2011","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.0","","","","1"
"2012","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","4.9","","","","1"
"2013","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","4.2","","","","1"
"2014","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","3.9","","","","1"
"2015","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.2","","","","1"
"2016","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","6.5","","","","1"
"2017","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","6.4","","","","1"
"2018","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","6.1","","","","1"
"2019","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.5","","","","1"
"2020","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","8.3","","","","1"
"2021","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","6.5","","","","1"
"2022","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","4.6","","","","1"
"2023","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","4.7","","","","1"
"2024","Saskatchewan","2021A000247","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548140","9.8.1.1","5.4","","","","1"
"2008","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","3.8","","","","1"
"2009","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","6.8","","","","1"
"2010","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","6.6","","","","1"
"2011","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","5.6","","","","1"
"2012","Alberta","2021A000248","Unemployment rate","Total - Gender","15 years and over","Percent","239","units","0","v1063548932","10.8.1.1","4.7","","","","1"
